ID,X,Y,Ti,Hi,Di,Mi
WF-1-BJ134,498482.33954098035,5404296.216488899,18.362847050960855,66.38294121295588,300.5090693512446,21.468230359359705
WF-1-BJ135,498457.28981397924,5404296.216488899,19.018297086573735,69.85657903321676,297.7273676414122,21.457020388008445
WF-1-BJ136,498432.24008697807,5404296.216488899,19.443665633721928,72.4392391645973,294.8865588358479,21.385040915315606
WF-1-BJ137,498407.1903599769,5404296.216488899,19.869034180870123,75.02189929597786,292.0457500302835,21.31306144262277
WF-1-BJ138,498382.14063297573,5404296.216488899,20.22577917834636,77.24373774714701,289.26943520852626,21.22840068300028
WF-1-BJ139,498357.0909059746,5404296.216488899,20.482897185132504,78.94173885170414,286.58675211458564,21.125329356438375
WF-1-BJ140,498332.04117897345,5404296.216488899,20.740015191919245,80.63973995626517,283.90406902063893,21.02225802987624
WF-1-BJ141,498306.9914519723,5404296.216488899,20.916509565432623,81.76776889985123,281.9492724405524,20.940971390349315
WF-1-BJ142,498281.9417249711,5404296.216488899,21.060710153612785,82.66749557194294,280.2860307045133,20.868410604249032
WF-1-BJ143,498256.89199797,5404296.216488899,21.20348682685128,83.55272225258697,278.6617102787718,20.797593872463988
WF-1-BJ144,498231.84227096883,5404296.216488899,21.277005200862206,83.73267875368532,278.9304971422442,20.81160681141039
WF-1-BJ145,498206.79254396766,5404296.216488899,21.350523574873144,83.91263525478368,279.19928400571655,20.825619750356797
WF-1-BJ146,498181.7428169665,5404296.216488899,21.422701889837274,83.94721577792608,279.96543305828385,20.865400431458347
WF-1-BJ147,498156.6930899654,5404296.216488899,21.49211324796501,83.68162366539994,281.7585366413126,20.958386402640677
WF-1-BJ148,498131.6433629642,5404296.216488899,21.561524606092902,83.41603155287319,283.5516402243456,21.051372373823227
WF-1-BJ149,498106.59363596304,5404296.216488899,21.67548417158018,83.09729219146202,285.4138597128129,21.16040025719291
