ID,X,Y,ODI,ODI归一化,类别,厚度Ti,间距Hi,埋深Di,采高Mi,垮落角,面宽,煤柱宽
WF-1-ZX28,494604.39,5403628.02,328.8124,0.953304,red,52.28,245.78,0.8224,13.00,0.0,204.3,0.0
WF-1-ZX29,494629.39,5403628.02,329.5608,0.957358,red,54.19,244.82,0.8538,13.00,0.0,204.3,0.0
WF-1-ZX30,494654.39,5403628.02,330.2298,0.960983,red,56.04,243.77,0.8838,13.00,0.0,204.3,0.0
WF-1-ZX31,494679.39,5403628.01,330.7894,0.964015,red,57.74,242.72,0.9108,13.00,0.0,204.3,0.0
WF-1-ZX32,494704.39,5403628.01,331.2154,0.966323,red,59.14,241.78,0.9329,13.00,0.0,204.3,0.0
WF-1-ZX33,494729.39,5403628.00,331.5163,0.967953,red,60.17,241.06,0.9491,13.00,0.0,204.3,0.0
WF-1-ZX34,494754.39,5403628.00,331.6983,0.968939,red,60.77,240.66,0.9583,13.00,0.0,204.3,0.0
WF-1-ZX35,494779.39,5403628.00,331.7787,0.969375,red,60.87,240.68,0.9596,13.00,0.0,204.3,0.0
WF-1-ZX36,494804.39,5403627.99,331.7857,0.969412,red,60.48,241.18,0.9527,13.00,0.0,204.3,0.0
WF-1-ZX37,494829.39,5403627.99,331.7566,0.969255,red,59.62,242.19,0.9377,13.00,0.0,204.3,0.0
WF-1-ZX38,494854.39,5403627.98,331.7444,0.969189,red,58.33,243.76,0.9145,13.00,0.0,204.3,0.0
WF-1-ZX39,494879.39,5403627.98,331.8099,0.969544,red,56.79,245.78,0.8853,13.00,0.0,204.3,0.0
WF-1-ZX40,494904.39,5403627.98,331.9879,0.970508,red,55.19,248.10,0.8522,13.00,0.0,204.3,0.0
WF-1-ZX41,494929.39,5403627.97,332.3050,0.972226,red,53.65,250.60,0.8167,13.00,0.0,204.3,0.0
WF-1-ZX42,494954.39,5403627.97,332.7779,0.974789,red,52.28,253.17,0.7801,13.00,0.0,204.3,0.0
WF-1-ZX43,494979.39,5403627.96,333.4141,0.978235,red,51.20,255.70,0.7438,13.00,0.0,204.3,0.0
WF-1-ZX44,495004.39,5403627.96,334.2116,0.982556,red,50.45,258.11,0.7085,13.00,0.0,204.3,0.0
WF-1-ZX45,495029.39,5403627.96,335.1773,0.987788,red,50.15,260.29,0.6753,13.00,0.0,204.3,0.0
WF-1-ZX46,495054.39,5403627.95,336.2662,0.993688,red,50.26,262.19,0.6447,13.00,0.0,204.3,0.0
WF-1-ZX47,495079.39,5403627.95,337.4313,1.000000,red,50.71,263.81,0.6169,13.00,0.0,204.3,0.0
