ID,X,Y,ODI,ODI归一化,类别,厚度Ti,间距Hi,埋深Di,采高Mi,垮落角,面宽,煤柱宽
WF-1-BJ130,498587.37,5403926.24,145.2729,0.217363,green,23.31,61.59,283.2163,13.00,65.0,0.0,0.0
WF-1-BJ131,498562.30,5403926.24,145.7062,0.219387,green,22.59,62.86,282.3858,13.00,65.0,0.0,0.0
WF-1-BJ132,498537.23,5403926.24,146.1395,0.221410,green,21.87,64.12,281.5554,13.00,65.0,0.0,0.0
WF-1-BJ133,498512.15,5403926.24,146.5246,0.223209,green,21.28,65.24,280.6274,13.00,65.0,0.0,0.0
WF-1-BJ134,498487.08,5403926.24,146.8781,0.224860,green,20.79,66.26,279.6356,13.00,65.0,0.0,0.0
WF-1-BJ135,498462.01,5403926.24,147.2317,0.226511,green,20.30,67.28,278.6439,13.00,65.0,0.0,0.0
WF-1-BJ136,498436.94,5403926.24,147.6963,0.228681,green,20.02,68.24,277.6398,13.00,65.0,0.0,0.0
WF-1-BJ137,498411.87,5403926.24,148.1715,0.230901,green,19.77,69.19,276.6345,13.00,65.0,0.0,0.0
WF-1-BJ138,498386.80,5403926.24,148.6991,0.233364,green,19.56,70.16,275.6514,13.00,65.0,0.0,0.0
WF-1-BJ139,498361.73,5403926.24,149.4104,0.236687,green,19.51,71.19,274.7463,13.00,65.0,0.0,0.0
WF-1-BJ140,498336.66,5403926.24,150.1218,0.240009,green,19.46,72.22,273.8413,13.00,65.0,0.0,0.0
WF-1-BJ141,498311.59,5403926.24,150.8943,0.243617,green,19.46,73.24,273.0657,13.00,65.0,0.0,0.0
WF-1-BJ142,498286.52,5403926.24,151.7210,0.247478,green,19.51,74.25,272.4048,13.00,65.0,0.0,0.0
WF-1-BJ143,498261.45,5403926.24,152.5477,0.251339,green,19.56,75.27,271.7440,13.00,65.0,0.0,0.0
WF-1-BJ144,498236.38,5403926.24,153.2803,0.254760,green,19.61,76.11,271.4081,13.00,65.0,0.0,0.0
WF-1-BJ145,498211.30,5403926.24,153.9949,0.258098,green,19.66,76.91,271.1348,13.00,65.0,0.0,0.0
WF-1-BJ146,498186.23,5403926.24,154.6725,0.261262,green,19.70,77.67,270.9155,13.00,65.0,0.0,0.0
WF-1-BJ147,498161.16,5403926.24,155.1354,0.263424,green,19.69,78.17,271.0096,13.00,65.0,0.0,0.0
WF-1-BJ148,498136.09,5403926.24,155.5982,0.265586,green,19.68,78.67,271.1037,13.00,65.0,0.0,0.0
WF-1-BJ149,498111.02,5403926.24,155.9039,0.267013,green,19.62,79.02,271.2887,13.00,65.0,0.0,0.0
WF-1-BJ150,498085.95,5403926.24,156.0214,0.267562,green,19.49,79.19,271.5826,13.00,65.0,0.0,0.0
WF-1-BJ151,498060.88,5403926.24,156.1390,0.268111,green,19.37,79.36,271.8765,13.00,65.0,0.0,0.0
WF-1-BJ152,498035.81,5403926.24,155.8676,0.266844,green,19.12,79.19,272.2462,13.00,65.0,0.0,0.0
WF-1-BJ153,498010.74,5403926.24,155.4757,0.265014,green,18.83,78.91,272.6394,13.00,65.0,0.0,0.0
WF-1-BJ154,497985.67,5403926.24,155.0325,0.262943,green,18.52,78.59,273.0472,13.00,65.0,0.0,0.0
WF-1-BJ155,497960.60,5403926.24,153.9273,0.257782,green,18.01,77.67,273.6435,13.00,65.0,0.0,0.0
WF-1-BJ156,497935.53,5403926.24,152.8220,0.252620,green,17.49,76.76,274.2399,13.00,65.0,0.0,0.0
WF-1-BJ157,497910.45,5403926.24,151.4642,0.246279,green,16.91,75.58,274.9748,13.00,65.0,0.0,0.0
WF-1-BJ158,497885.38,5403926.24,149.6952,0.238017,green,16.21,74.00,275.9353,13.00,65.0,0.0,0.0
WF-1-BJ159,497860.31,5403926.24,147.9261,0.229754,green,15.52,72.42,276.8958,13.00,65.0,0.0,0.0
WF-1-BJ160,497835.24,5403926.24,146.3234,0.222269,green,14.92,70.96,277.8167,13.00,65.0,0.0,0.0
WF-1-BJ161,497810.17,5403926.24,144.7958,0.215135,green,14.36,69.54,278.7196,13.00,65.0,0.0,0.0
WF-1-BJ162,497785.10,5403926.24,143.2682,0.208001,green,13.80,68.13,279.6225,13.00,65.0,0.0,0.0
WF-1-BJ163,497760.03,5403926.24,143.7293,0.210154,green,13.88,68.74,278.8670,13.00,65.0,0.0,0.0
WF-1-BJ164,497734.96,5403926.24,144.1957,0.212332,green,13.96,69.35,278.1072,13.00,65.0,0.0,0.0
WF-1-BJ165,497709.89,5403926.24,145.5160,0.218499,green,14.26,70.94,276.3581,13.00,65.0,0.0,0.0
WF-1-BJ166,497684.82,5403926.24,148.7752,0.233720,green,15.05,74.74,272.3629,13.00,65.0,0.0,0.0
WF-1-BJ167,497659.75,5403926.24,152.0344,0.248942,green,15.85,78.55,268.3678,13.00,65.0,0.0,0.0
WF-1-BJ168,497634.67,5403926.24,156.4557,0.269590,green,16.80,83.93,262.3951,13.00,65.0,0.0,0.0
