ID,X,Y,ODI,ODI归一化,类别,厚度Ti,间距Hi,埋深Di,采高Mi,垮落角,面宽,煤柱宽
WF-1-BJ104,498833.04,5403988.22,132.0349,0.174779,green,31.11,47.53,285.8452,23.14,0.0,0.0,0.0
WF-1-BJ105,498858.09,5403988.22,132.5510,0.177242,green,30.71,48.41,286.2507,23.14,0.0,0.0,0.0
WF-1-BJ106,498883.14,5403988.22,133.3965,0.181276,green,30.10,49.83,286.8549,23.14,0.0,0.0,0.0
WF-1-BJ107,498908.18,5404013.88,133.6106,0.182297,green,29.95,50.08,287.4853,23.14,0.0,0.0,0.0
WF-1-BJ108,498908.18,5404039.55,133.0881,0.179805,green,30.29,49.14,287.5189,23.14,0.0,0.0,0.0
WF-1-BJ109,498908.18,5404065.22,132.6907,0.177908,green,30.49,48.44,287.6874,23.14,0.0,0.0,0.0
WF-1-BJ110,498908.18,5404090.88,132.8785,0.178804,green,30.06,48.85,288.4885,23.14,0.0,0.0,0.0
WF-1-BJ111,498908.18,5404116.55,133.0663,0.179701,green,29.64,49.26,289.2895,23.14,0.0,0.0,0.0
WF-1-BJ112,498908.18,5404142.22,133.6309,0.182394,green,28.46,50.51,291.1859,23.14,0.0,0.0,0.0
WF-1-BJ113,498908.18,5404167.88,134.2304,0.185254,green,27.21,51.84,293.1837,23.14,0.0,0.0,0.0
WF-1-BJ114,498908.18,5404193.55,134.6471,0.187243,green,25.72,53.02,295.7176,23.14,0.0,0.0,0.0
WF-1-BJ115,498908.18,5404219.22,134.9675,0.188771,green,24.10,54.12,298.5343,23.14,0.0,0.0,0.0
WF-1-BJ116,498908.18,5404244.88,134.8638,0.188277,green,22.56,54.95,301.3250,22.87,0.0,0.0,0.0
WF-1-BJ117,498908.18,5404270.55,134.4643,0.186371,green,21.13,55.35,304.0757,22.58,0.0,0.0,0.0
WF-1-BJ118,498883.14,5404296.22,131.9061,0.174165,green,19.02,53.51,307.8309,22.18,0.0,0.0,0.0
WF-1-BJ119,498858.09,5404296.22,129.5655,0.162998,green,18.17,51.16,309.1175,22.04,0.0,0.0,0.0
WF-1-BJ120,498833.04,5404296.22,126.8400,0.149994,green,17.04,48.50,310.8913,21.86,0.0,0.0,0.0
WF-1-BJ121,498807.99,5404296.22,124.1145,0.136990,green,15.91,45.85,312.6652,21.68,0.0,0.0,0.0
WF-1-BJ122,498782.94,5404296.22,121.5751,0.124874,green,14.81,43.40,314.4174,21.50,0.0,0.0,0.0
WF-1-BJ123,498757.89,5404296.22,119.1755,0.113425,green,13.72,41.12,316.1533,21.32,0.0,0.0,0.0
WF-1-BJ124,498732.84,5404296.22,116.7759,0.101976,green,12.64,38.84,317.8892,21.14,0.0,0.0,0.0
WF-1-BJ125,498707.79,5404296.22,116.6164,0.101215,green,12.42,38.83,318.0960,21.09,0.0,0.0,0.0
WF-1-BJ126,498682.74,5404296.22,116.7705,0.101950,green,12.32,39.14,318.0887,21.05,0.0,0.0,0.0
WF-1-BJ127,498657.69,5404296.22,117.4481,0.105183,green,12.40,40.01,317.7184,21.05,0.0,0.0,0.0
WF-1-BJ128,498632.64,5404296.22,120.4579,0.119543,green,13.26,43.40,315.7311,21.14,0.0,0.0,0.0
WF-1-BJ129,498607.59,5404296.22,123.4677,0.133904,green,14.12,46.78,313.7438,21.23,0.0,0.0,0.0
WF-1-BJ130,498582.54,5404296.22,126.7812,0.149713,green,15.02,50.59,311.4142,21.32,0.0,0.0,0.0
WF-1-BJ131,498557.49,5404296.22,130.4116,0.167034,green,15.98,54.84,308.7276,21.39,0.0,0.0,0.0
WF-1-BJ132,498532.44,5404296.22,134.0419,0.184355,green,16.94,59.10,306.0410,21.46,0.0,0.0,0.0
WF-1-BJ133,498507.39,5404296.22,137.0259,0.198592,green,17.68,62.81,303.2841,21.47,0.0,0.0,0.0
WF-1-BJ134,498482.34,5404296.22,139.8439,0.212037,green,18.36,66.38,300.5091,21.47,0.0,0.0,0.0
WF-1-BJ135,498457.29,5404296.22,142.5564,0.224979,green,19.02,69.86,297.7274,21.46,0.0,0.0,0.0
WF-1-BJ136,498432.24,5404296.22,144.3377,0.233478,green,19.44,72.44,294.8866,21.39,0.0,0.0,0.0
WF-1-BJ137,498407.19,5404296.22,146.1190,0.241977,green,19.87,75.02,292.0458,21.31,0.0,0.0,0.0
WF-1-BJ138,498382.14,5404296.22,147.5658,0.248880,green,20.23,77.24,289.2694,21.23,0.0,0.0,0.0
WF-1-BJ139,498357.09,5404296.22,148.5271,0.253467,green,20.48,78.94,286.5868,21.13,0.0,0.0,0.0
WF-1-BJ140,498332.04,5404296.22,149.4884,0.258053,green,20.74,80.64,283.9041,21.02,0.0,0.0,0.0
WF-1-BJ141,498306.99,5404296.22,150.0885,0.260916,green,20.92,81.77,281.9493,20.94,0.0,0.0,0.0
WF-1-BJ142,498281.94,5404296.22,150.5439,0.263089,green,21.06,82.67,280.2860,20.87,0.0,0.0,0.0
WF-1-BJ143,498256.89,5404296.22,150.9952,0.265242,green,21.20,83.55,278.6617,20.80,0.0,0.0,0.0
WF-1-BJ144,498231.84,5404296.22,151.2478,0.266448,green,21.28,83.73,278.9305,20.81,0.0,0.0,0.0
WF-1-BJ145,498206.79,5404296.22,151.5004,0.267653,green,21.35,83.91,279.1993,20.83,0.0,0.0,0.0
WF-1-BJ146,498181.74,5404296.22,151.7471,0.268830,green,21.42,83.95,279.9654,20.87,0.0,0.0,0.0
WF-1-BJ147,498156.69,5404296.22,151.9814,0.269948,green,21.49,83.68,281.7585,20.96,0.0,0.0,0.0
WF-1-BJ148,498131.64,5404296.22,152.2157,0.271066,green,21.56,83.42,283.5516,21.05,0.0,0.0,0.0
WF-1-BJ149,498106.59,5404296.22,152.4636,0.272248,green,21.68,83.10,285.4139,21.16,0.0,0.0,0.0
WF-1-BJ150,498081.54,5404296.22,152.7193,0.273469,green,21.82,82.75,287.3163,21.28,0.0,0.0,0.0
WF-1-BJ151,498056.49,5404296.22,152.9751,0.274689,green,21.96,82.40,289.2186,21.40,0.0,0.0,0.0
WF-1-BJ152,498031.44,5404296.22,153.2369,0.275938,green,22.21,82.14,290.3654,21.50,0.0,0.0,0.0
WF-1-BJ153,498006.39,5404296.22,153.4990,0.277189,green,22.48,81.89,291.4627,21.61,0.0,0.0,0.0
WF-1-BJ154,497981.35,5404296.22,153.7613,0.278440,green,22.79,81.66,292.3451,21.70,0.0,0.0,0.0
WF-1-BJ155,497956.30,5404296.22,154.0239,0.279693,green,23.23,81.49,292.5643,21.78,0.0,0.0,0.0
WF-1-BJ156,497931.25,5404296.22,154.2865,0.280946,green,23.67,81.33,292.7835,21.85,0.0,0.0,0.0
WF-1-BJ157,497906.20,5404296.22,154.5604,0.282253,green,24.23,81.16,292.7050,21.91,0.0,0.0,0.0
WF-1-BJ158,497881.15,5404296.22,154.8436,0.283604,green,24.89,81.00,292.3838,21.94,0.0,0.0,0.0
WF-1-BJ159,497856.10,5404296.22,155.1267,0.284955,green,25.56,80.84,292.0626,21.98,0.0,0.0,0.0
WF-1-BJ160,497831.05,5404296.22,155.4575,0.286533,green,26.43,80.63,291.6001,21.99,0.0,0.0,0.0
WF-1-BJ161,497806.00,5404296.22,155.7963,0.288149,green,27.33,80.42,291.1140,22.00,0.0,0.0,0.0
WF-1-BJ162,497780.95,5404296.22,156.1464,0.289820,green,28.26,80.21,290.6245,22.00,0.0,0.0,0.0
WF-1-BJ163,497755.90,5404296.22,156.5549,0.291769,green,29.30,80.00,290.1179,21.98,0.0,0.0,0.0
